,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL
99, Steve Madden,Women's Two-Tone Double Buckle Belt,Sale  EUR 18.95,EUR 37.90,3.8,https://www.macys.com/shop/product/steve-madden-womens-two-tone-double-buckle-belt?ID=17420796
100, Cole Haan,Women's Faux-Fur-Lined Quilted Puffer Mittens,Now  EUR 65.82,EUR 87.76,3.5,https://www.macys.com/shop/product/cole-haan-womens-faux-fur-lined-quilted-puffer-mittens?ID=16377328
101, Marcus Adler,Women's Faux Leather Knotted Band Wool Blend Felt Hat, EUR 49.81,None,3.8,https://www.macys.com/shop/product/marcus-adler-womens-faux-leather-knotted-band-wool-blend-felt-hat?ID=12437284
102, Adrianna Papell,Charmeuse Shawl, EUR 49.86,None,3.9688,https://www.macys.com/shop/product/adrianna-papell-charmeuse-shawl?ID=1416622
103, JM Collection,"JM  Collection Women's Printed Poncho Turtleneck Sweater, Created for Macy's",Now  EUR 19.94,EUR 59.34,4.3045,https://www.macys.com/shop/product/jm-collection-womens-printed-poncho-turtleneck-sweater-created-for-macys?ID=15881555
104, I.N.C. International Concepts,"Prudence Small Diamond Mesh Crossbody, Created for Macy's ", EUR 69.31,None,4,https://www.macys.com/shop/product/i.n.c.-international-concepts-prudence-small-diamond-mesh-crossbody-created-for-macys?ID=17315209
105, SL Fashions,Sheer Capelet Shawl, EUR 38.89,None,4.2093,https://www.macys.com/shop/product/sl-fashions-sheer-capelet-shawl?ID=2756763
106, I.N.C. International Concepts,"Ranndi Star Pearl Mini Clutch Crossbody, Created for Macy's ",Sale  EUR 29.77,EUR 99.23,None,https://www.macys.com/shop/product/i.n.c.-international-concepts-ranndi-star-pearl-mini-clutch-crossbody-created-for-macys?ID=17753718
107, FRAAS,Women's Houndstooth Fringe-Trim Scarf,Sale  EUR 28.92,EUR 57.84,5,https://www.macys.com/shop/product/fraas-womens-houndstooth-fringe-trim-scarf?ID=18665825
108, Isotoner,Women's Nordic Fairisle Water Repellent Knit Gloves, EUR 43.88,None,4.5,https://www.macys.com/shop/product/isotoner-womens-nordic-fairisle-water-repellent-knit-gloves?ID=19164770
