,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL,Product Description
2219,I.N.C. International Concepts,"Plus Size Croc-Embossed Faux-Leather Moto Jacket, Created for Macy's",Sale  EUR 44.35, EUR 118.26 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-plus-size-croc-embossed-faux-leather-moto-jacket-created-for-macys?ID=18110965, Product Features Belt detail at hemLinedNotched collar; front zip closure ImportedSide pockets
2220,Anne Klein,Women's Printed Tie-Front Topper Jacket,Now  EUR 42.68, EUR 127.66 ,None,https://www.macys.com/shop/product/anne-klein-womens-printed-tie-front-topper-jacket?ID=18094315, Product Features V-neck; front tie closures Imported3/4-sleevesLined 
2221,Anne Klein,Women's Printed Tie-Front Topper Jacket,Now  EUR 42.68, EUR 127.66 ,None,https://www.macys.com/shop/product/anne-klein-womens-printed-tie-front-topper-jacket?ID=18094315, Product Features V-neck; front tie closures Imported3/4-sleevesLined 
2222,Anne Klein,Women's Printed Tie-Front Topper Jacket,Now  EUR 42.68, EUR 127.66 ,None,https://www.macys.com/shop/product/anne-klein-womens-printed-tie-front-topper-jacket?ID=18094315, Product Features V-neck; front tie closures Imported3/4-sleevesLined 
2223,Anne Klein,Women's Printed Tie-Front Topper Jacket,Now  EUR 42.68, EUR 127.66 ,None,https://www.macys.com/shop/product/anne-klein-womens-printed-tie-front-topper-jacket?ID=18094315, Product Features V-neck; front tie closures Imported3/4-sleevesLined 
2224,Style & Co,"Petite Polar Fleece Zip-Front Jacket, Created for Macy's",Sale  EUR 19.78, EUR 48.99 ,Rated 4.4364 stars with 55 reviews,https://www.macys.com/shop/product/style-co-petite-polar-fleece-zip-front-jacket-created-for-macys?ID=18043253, Product Features ImportedFleece fabricationTwo zipper pockets at frontCreated for Macy'sMock neck; front zip closureLong sleeves
2225,Style & Co,"Petite Polar Fleece Zip-Front Jacket, Created for Macy's",Sale  EUR 19.78, EUR 48.99 ,Rated 4.4364 stars with 55 reviews,https://www.macys.com/shop/product/style-co-petite-polar-fleece-zip-front-jacket-created-for-macys?ID=18043253, Product Features ImportedFleece fabricationTwo zipper pockets at frontCreated for Macy'sMock neck; front zip closureLong sleeves
2226,Style & Co,"Petite Polar Fleece Zip-Front Jacket, Created for Macy's",Sale  EUR 19.78, EUR 48.99 ,Rated 4.4364 stars with 55 reviews,https://www.macys.com/shop/product/style-co-petite-polar-fleece-zip-front-jacket-created-for-macys?ID=18043253, Product Features ImportedFleece fabricationTwo zipper pockets at frontCreated for Macy'sMock neck; front zip closureLong sleeves
2227,Style & Co,"Petite Polar Fleece Zip-Front Jacket, Created for Macy's",Sale  EUR 19.78, EUR 48.99 ,Rated 4.4364 stars with 55 reviews,https://www.macys.com/shop/product/style-co-petite-polar-fleece-zip-front-jacket-created-for-macys?ID=18043253, Product Features ImportedFleece fabricationTwo zipper pockets at frontCreated for Macy'sMock neck; front zip closureLong sleeves
2228,Liverpool Los Angeles,Women's Stretch Denim Trucker Jacket,EUR 107.87,None,None,https://www.macys.com/shop/product/liverpool-los-angeles-womens-stretch-denim-trucker-jacket?ID=18950911, Product Features UnlinedWestern-seam back yokeImportedSpread collar; front button closuresFlap chest pockets; welt waist pocketsLong sleeves
2229,Liverpool Los Angeles,Women's Stretch Denim Trucker Jacket,EUR 107.87,None,None,https://www.macys.com/shop/product/liverpool-los-angeles-womens-stretch-denim-trucker-jacket?ID=18950911, Product Features UnlinedWestern-seam back yokeImportedSpread collar; front button closuresFlap chest pockets; welt waist pocketsLong sleeves
2230,Liverpool Los Angeles,Women's Stretch Denim Trucker Jacket,EUR 107.87,None,None,https://www.macys.com/shop/product/liverpool-los-angeles-womens-stretch-denim-trucker-jacket?ID=18950911, Product Features UnlinedWestern-seam back yokeImportedSpread collar; front button closuresFlap chest pockets; welt waist pocketsLong sleeves
2231,Liverpool Los Angeles,Women's Stretch Denim Trucker Jacket,EUR 107.87,None,None,https://www.macys.com/shop/product/liverpool-los-angeles-womens-stretch-denim-trucker-jacket?ID=18950911, Product Features UnlinedWestern-seam back yokeImportedSpread collar; front button closuresFlap chest pockets; welt waist pocketsLong sleeves
2232,Jones New York,Petite Quilted Mock-Neck Puffer Vest,Sale  EUR 44.29, EUR 88.57 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/jones-new-york-petite-quilted-mock-neck-puffer-vest?ID=19149035, Product Features SleevelessMock neckQuilted throughout; knit panels under arms; smocked at mid backImportedPatch pockets with snap-closed flaps at frontLined
2233,Jones New York,Petite Quilted Mock-Neck Puffer Vest,Sale  EUR 44.29, EUR 88.57 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/jones-new-york-petite-quilted-mock-neck-puffer-vest?ID=19149035, Product Features SleevelessMock neckQuilted throughout; knit panels under arms; smocked at mid backImportedPatch pockets with snap-closed flaps at frontLined
2234,Jones New York,Petite Quilted Mock-Neck Puffer Vest,Sale  EUR 44.29, EUR 88.57 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/jones-new-york-petite-quilted-mock-neck-puffer-vest?ID=19149035, Product Features SleevelessMock neckQuilted throughout; knit panels under arms; smocked at mid backImportedPatch pockets with snap-closed flaps at frontLined
2235,Jones New York,Petite Quilted Mock-Neck Puffer Vest,Sale  EUR 44.29, EUR 88.57 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/jones-new-york-petite-quilted-mock-neck-puffer-vest?ID=19149035, Product Features SleevelessMock neckQuilted throughout; knit panels under arms; smocked at mid backImportedPatch pockets with snap-closed flaps at frontLined
2236,Steve Madden,Women's Vida Jacket,EUR 107.87,None,None,https://www.macys.com/shop/product/steve-madden-womens-vida-jacket?ID=18274518, Product Features Interior straps; quilted designLinedImportedSide pockets; one sleeve pocket Band collar; Front zip closure Long sleeves
2237,Steve Madden,Women's Vida Jacket,EUR 107.87,None,None,https://www.macys.com/shop/product/steve-madden-womens-vida-jacket?ID=18274518, Product Features Interior straps; quilted designLinedImportedSide pockets; one sleeve pocket Band collar; Front zip closure Long sleeves
2238,Steve Madden,Women's Vida Jacket,EUR 107.87,None,None,https://www.macys.com/shop/product/steve-madden-womens-vida-jacket?ID=18274518, Product Features Interior straps; quilted designLinedImportedSide pockets; one sleeve pocket Band collar; Front zip closure Long sleeves
2239,Steve Madden,Women's Vida Jacket,EUR 107.87,None,None,https://www.macys.com/shop/product/steve-madden-womens-vida-jacket?ID=18274518, Product Features Interior straps; quilted designLinedImportedSide pockets; one sleeve pocket Band collar; Front zip closure Long sleeves
2240,Tahari,Women's Belted Shacket,Now  EUR 103.84, EUR 346.37 ,Rated 4.75 stars with 4 reviews,https://www.macys.com/shop/product/tahari-womens-belted-shacket?ID=14144882, Product Features Two side pocketsLinedImportedPoint collar; front button closuresRemovable belt
2241,Tahari,Women's Belted Shacket,Now  EUR 103.84, EUR 346.37 ,Rated 4.75 stars with 4 reviews,https://www.macys.com/shop/product/tahari-womens-belted-shacket?ID=14144882, Product Features Two side pocketsLinedImportedPoint collar; front button closuresRemovable belt
2242,Tahari,Women's Belted Shacket,Now  EUR 103.84, EUR 346.37 ,Rated 4.75 stars with 4 reviews,https://www.macys.com/shop/product/tahari-womens-belted-shacket?ID=14144882, Product Features Two side pocketsLinedImportedPoint collar; front button closuresRemovable belt
2243,Tahari,Women's Belted Shacket,Now  EUR 103.84, EUR 346.37 ,Rated 4.75 stars with 4 reviews,https://www.macys.com/shop/product/tahari-womens-belted-shacket?ID=14144882, Product Features Two side pocketsLinedImportedPoint collar; front button closuresRemovable belt
2244,Alfred Dunner,Petite Romancing The Stone Textured Knit Jacket,Sale  EUR 44.29, EUR 88.57 ,None,https://www.macys.com/shop/product/alfred-dunner-petite-romancing-the-stone-textured-knit-jacket?ID=19710377, Product Features 3/4-sleevesTextured finishImportedTwo pockets at frontCollared neckline with button closure
2245,Alfred Dunner,Petite Romancing The Stone Textured Knit Jacket,Sale  EUR 44.29, EUR 88.57 ,None,https://www.macys.com/shop/product/alfred-dunner-petite-romancing-the-stone-textured-knit-jacket?ID=19710377, Product Features 3/4-sleevesTextured finishImportedTwo pockets at frontCollared neckline with button closure
2246,Alfred Dunner,Petite Romancing The Stone Textured Knit Jacket,Sale  EUR 44.29, EUR 88.57 ,None,https://www.macys.com/shop/product/alfred-dunner-petite-romancing-the-stone-textured-knit-jacket?ID=19710377, Product Features 3/4-sleevesTextured finishImportedTwo pockets at frontCollared neckline with button closure
2247,Alfred Dunner,Petite Romancing The Stone Textured Knit Jacket,Sale  EUR 44.29, EUR 88.57 ,None,https://www.macys.com/shop/product/alfred-dunner-petite-romancing-the-stone-textured-knit-jacket?ID=19710377, Product Features 3/4-sleevesTextured finishImportedTwo pockets at frontCollared neckline with button closure
2248,Style & Co,"Plus Size Linen Blend Reversible Kimono, Created for Macy's ",Now  EUR 30.51, EUR 78.68 ,Rated 4 stars with 5 reviews,https://www.macys.com/shop/product/style-co-plus-size-linen-blend-reversible-kimono-created-for-macys?ID=17943961, Product Features 3/4-sleeves Created for Macy's Collarless; open front Reversible Imported
2249,Style & Co,"Plus Size Linen Blend Reversible Kimono, Created for Macy's ",Now  EUR 30.51, EUR 78.68 ,Rated 4 stars with 5 reviews,https://www.macys.com/shop/product/style-co-plus-size-linen-blend-reversible-kimono-created-for-macys?ID=17943961, Product Features 3/4-sleeves Created for Macy's Collarless; open front Reversible Imported
