,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL
1501,kate spade new york,NEW! Women's Metallic Beanie Hat,EUR 56.64,None,None,https://www.macys.com/shop/product/kate-spade-new-york-womens-metallic-beanie-hat?ID=19767730
1502,Olivia Miller,Women's Rosana Extra-Large Tote,Sale  EUR 34.18, EUR 68.35 ,Rated 3 stars with 1 reviews,https://www.macys.com/shop/product/olivia-miller-womens-rosana-extra-large-tote?ID=16234416
1503,Olivia Miller,Women's Rosana Extra-Large Tote,Sale  EUR 34.18, EUR 68.35 ,Rated 3 stars with 1 reviews,https://www.macys.com/shop/product/olivia-miller-womens-rosana-extra-large-tote?ID=16234416
1504,Style & Co,"Double Compartment Crossbody, Created for Macy's",Now  EUR 33.93, EUR 67.87 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/style-co-double-compartment-crossbody-created-for-macys?ID=20334086
1505,Style & Co,"Double Compartment Crossbody, Created for Macy's",Now  EUR 33.93, EUR 67.87 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/style-co-double-compartment-crossbody-created-for-macys?ID=20334086
1506,FRAAS,Women's Paisley Ombré Cashmink® Scarf,Sale  EUR 33.98, EUR 56.64 ,Rated 5 stars with 2 reviews,https://www.macys.com/shop/product/fraas-womens-paisley-ombre-cashmink-scarf?ID=16359933
1507,FRAAS,Women's Paisley Ombré Cashmink® Scarf,Sale  EUR 33.98, EUR 56.64 ,Rated 5 stars with 2 reviews,https://www.macys.com/shop/product/fraas-womens-paisley-ombre-cashmink-scarf?ID=16359933
1508,Giani Bernini,Women's Solid Pull-Through Evening Wrap,Sale  EUR 20.75, EUR 41.50 ,Rated 5 stars with 3 reviews,https://www.macys.com/shop/product/giani-bernini-womens-solid-pull-through-evening-wrap?ID=18693341
1509,Giani Bernini,Women's Solid Pull-Through Evening Wrap,Sale  EUR 20.75, EUR 41.50 ,Rated 5 stars with 3 reviews,https://www.macys.com/shop/product/giani-bernini-womens-solid-pull-through-evening-wrap?ID=18693341
1510,I.N.C. International Concepts,"Convertible Fanny Pack, Created for Macy's",Sale  EUR 26.61, EUR 53.22 ,Rated 4.1842 stars with 38 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-convertible-fanny-pack-created-for-macys?ID=10763553
1511,I.N.C. International Concepts,"Convertible Fanny Pack, Created for Macy's",Sale  EUR 26.61, EUR 53.22 ,Rated 4.1842 stars with 38 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-convertible-fanny-pack-created-for-macys?ID=10763553
1512,I.N.C. International Concepts,"Ranndi Mini Ombre Clutch Crossbody, Created for Macy's ",EUR 97.16,None,None,https://www.macys.com/shop/product/i.n.c.-international-concepts-ranndi-mini-ombre-clutch-crossbody-created-for-macys?ID=17753716
1513,I.N.C. International Concepts,"Ranndi Mini Ombre Clutch Crossbody, Created for Macy's ",EUR 97.16,None,None,https://www.macys.com/shop/product/i.n.c.-international-concepts-ranndi-mini-ombre-clutch-crossbody-created-for-macys?ID=17753716
1514,Brahmin,Leather Credit Card Wallet ,EUR 83.00,None,Rated 4.8673 stars with 196 reviews,https://www.macys.com/shop/product/brahmin-leather-credit-card-wallet?ID=11538166
1515,Brahmin,Leather Credit Card Wallet ,EUR 83.00,None,Rated 4.8673 stars with 196 reviews,https://www.macys.com/shop/product/brahmin-leather-credit-card-wallet?ID=11538166
1516,Cole Haan,Lattice Cuff Beanie,Sale  EUR 33.98, EUR 56.64 ,None,https://www.macys.com/shop/product/cole-haan-lattice-cuff-beanie?ID=18635959
1517,Cole Haan,Lattice Cuff Beanie,Sale  EUR 33.98, EUR 56.64 ,None,https://www.macys.com/shop/product/cole-haan-lattice-cuff-beanie?ID=18635959
1518,Patricia Nash,NEW! Bark Leaves Scarf,Sale  EUR 18.55, EUR 37.11 ,Rated 5 stars with 3 reviews,https://www.macys.com/shop/product/patricia-nash-bark-leaves-scarf?ID=18177965
